iso3,name,eiu_region,year,rank,value
NOR,Norway,Western Europe,2021,1,9.75210084
NZL,New Zealand,Asia & Australasia,2021,2,9.365779645
FIN,Finland,Western Europe,2021,3,9.267273576
SWE,Sweden,Western Europe,2021,4,9.264005602
ISL,Iceland,Western Europe,2021,5,9.177987862
DNK,Denmark,Western Europe,2021,6,9.092086835
IRL,Ireland,Western Europe,2021,7,8.995448179
TWN,Taiwan,Asia & Australasia,2021,8,8.991479925
AUS,Australia,Asia & Australasia,2021,9,8.902194211
CHE,Switzerland,Western Europe,2021,10,8.89764239
NLD,Netherlands,Western Europe,2021,11,8.883753501
CAN,Canada,North America,2021,12,8.869164332
URY,Uruguay,Latin America & the Caribbean,2021,13,8.849906629
LUX,Luxembourg,Western Europe,2021,14,8.679971989
DEU,Germany,Western Europe,2021,15,8.674719888
KOR,South Korea,Asia & Australasia,2021,16,8.16363212
JPN,Japan,Asia & Australasia,2021,17,8.153011204
GBR,Britain,Western Europe,2021,18,8.098039216
MUS,Mauritius,Sub-Saharan Africa,2021,19,8.08286648
AUT,Austria,Western Europe,2021,20,8.073646125
CRI,Costa Rica,Latin America & the Caribbean,2021,21,8.074112979
FRA,France,Western Europe,2021,22,7.994281046
ISR,Israel,Middle East & North Africa,2021,23,7.968137255
ESP,Spain,Western Europe,2021,24,7.936741363
CHL,Chile,Latin America & the Caribbean,2021,25,7.922735761
USA,United States,North America,2021,26,7.85270775
EST,Estonia,Eastern Europe,2021,27,7.843487395
PRT,Portugal,Western Europe,2021,28,7.818277311
CZE,Czech Republic,Eastern Europe,2021,29,7.741596639
BWA,Botswana,Sub-Saharan Africa,2021,30,7.729691877
ITA,Italy,Western Europe,2021,31,7.676237162
CPV,Cape Verde,Sub-Saharan Africa,2021,32,7.64754902
MLT,Malta,Western Europe,2021,33,7.573646125
GRC,Greece,Western Europe,2021,34,7.559056956
SVN,Slovenia,Eastern Europe,2021,35,7.54388422
BEL,Belgium,Western Europe,2021,36,7.510154062
CYP,Cyprus,Western Europe,2021,37,7.430088702
LVA,Latvia,Eastern Europe,2021,38,7.309056956
MYS,Malaysia,Asia & Australasia,2021,39,7.241363212
LTU,Lithuania,Eastern Europe,2021,40,7.184056956
TTO,Trinidad and Tobago,Latin America & the Caribbean,2021,41,7.163048553
JAM,Jamaica,Latin America & the Caribbean,2021,42,7.134453782
TLS,Timor Leste,Asia & Australasia,2021,43,7.059080299
ZAF,South Africa,Sub-Saharan Africa,2021,44,7.049159664
SVK,Slovakia,Eastern Europe,2021,45,7.026727358
IND,India,Asia & Australasia,2021,46,6.913071895
BRA,Brazil,Latin America & the Caribbean,2021,47,6.864729225
PAN,Panama,Latin America & the Caribbean,2021,48,6.85480859
SUR,Suriname,Latin America & the Caribbean,2021,49,6.823762838
ARG,Argentina,Latin America & the Caribbean,2021,50,6.807189542
POL,Poland,Eastern Europe,2021,51,6.800070028
IDN,Indonesia,Asia & Australasia,2021,52,6.709500467
BGR,Bulgaria,Eastern Europe,2021,53,6.635971055
PHL,Philippines,Asia & Australasia,2021,54,6.616830065
NAM,Namibia,Sub-Saharan Africa,2021,55,6.517997199
HRV,Croatia,Eastern Europe,2021,56,6.497782446
GHA,Ghana,Sub-Saharan Africa,2021,57,6.49789916
HUN,Hungary,Eastern Europe,2021,58,6.496498599
COL,Colombia,Latin America & the Caribbean,2021,59,6.477824463
DOM,Dominican Republic,Latin America & the Caribbean,2021,60,6.453431373
ROU,Romania,Eastern Europe,2021,61,6.431605976
MNG,Mongolia,Asia & Australasia,2021,62,6.416549953
SRB,Serbia,Eastern Europe,2021,63,6.359383754
LSO,Lesotho,Sub-Saharan Africa,2021,64,6.303244631
GUY,Guyana,Latin America & the Caribbean,2021,65,6.245494865
SGP,Singapore,Asia & Australasia,2021,66,6.233706816
LKA,Sri Lanka,Asia & Australasia,2021,67,6.139262372
ALB,Albania,Eastern Europe,2021,68,6.11136788
MDA,Moldova,Eastern Europe,2021,69,6.104131653
PNG,Papua New Guinea,Asia & Australasia,2021,70,6.095985061
PER,Peru,Latin America & the Caribbean,2021,71,6.094304388
THA,Thailand,Asia & Australasia,2021,72,6.042156863
MKD,North Macedonia,Eastern Europe,2021,73,6.028034547
MNE,Montenegro,Eastern Europe,2021,74,6.021498599
BGD,Bangladesh,Asia & Australasia,2021,75,5.992553688
TUN,Tunisia,Middle East & North Africa,2021,76,5.990662932
PRY,Paraguay,Latin America & the Caribbean,2021,77,5.858193277
